iteration_number,reward,is_target_reached
1,0.0,False
2,0.0,False
3,0.0,False
4,-0.06,False
5,-0.06,False
6,-0.06,False
7,0.64,False
8,0.64,False
9,0.64,False
10,0.64,False
11,0.68,False
12,0.68,False
13,0.68,False
14,0.68,False
15,0.68,False
16,0.68,False
17,0.68,False
18,0.68,False
19,0.68,False
20,0.68,False
21,0.68,False
22,0.68,False
23,0.68,False
24,0.68,False
25,0.68,False
26,0.68,False
27,0.68,False
28,0.68,False
29,0.68,False
30,0.68,False
31,0.2,False
32,0.2,False
33,0.2,False
34,0.2,False
35,0.2,False
36,0.2,False
37,0.2,False
38,0.18,False
39,0.18,False
40,0.18,False
41,0.18,False
42,0.18,False
43,0.18,False
44,0.18,False
45,0.18,False
46,0.18,False
47,0.18,False
48,0.09,False
49,0.09,False
50,0.09,False
51,0.09,False
52,0.09,False
53,0.09,False
54,0.09,False
55,0.07,False
56,0.07,False
57,0.07,False
58,0.07,False
59,0.11,False
60,0.11,False
61,0.11,False
62,0.11,False
63,0.11,False
64,0.11,False
65,0.11,False
66,0.11,False
67,0.11,False
68,0.14,False
69,0.14,False
70,0.14,False
71,0.14,False
72,0.14,False
73,0.14,False
74,0.14,False
75,0.14,False
76,0.14,False
77,0.14,False
78,0.14,False
79,0.14,False
80,0.14,False
81,0.14,False
82,0.14,False
83,0.14,False
84,0.14,False
85,0.14,False
86,0.14,False
87,0.14,False
88,0.14,False
89,0.12,False
90,0.12,False
91,0.12,False
92,0.71,False
93,0.71,False
94,0.71,False
95,0.71,False
96,0.71,False
97,0.71,False
98,0.71,False
99,0.71,False
100,0.71,False
101,0.71,False
102,0.71,False
103,0.71,False
104,0.71,False
105,0.71,False
106,0.71,False
107,0.71,False
108,0.71,False
109,0.71,False
110,0.71,False
111,0.71,False
112,0.77,False
113,0.77,False
114,0.77,False
115,0.77,False
116,0.77,False
117,0.77,False
118,0.77,False
119,0.77,False
120,0.77,False
121,0.77,False
122,0.77,False
123,0.77,False
124,0.77,False
125,0.77,False
126,0.77,False
127,0.77,False
128,0.77,False
129,0.77,False
130,0.77,False
131,0.77,False
132,0.77,False
133,0.76,False
134,0.76,False
135,0.76,False
136,0.76,False
137,0.76,False
138,0.76,False
139,0.76,False
140,0.76,False
141,0.76,False
142,0.76,False
143,0.76,False
144,0.76,False
145,0.76,False
146,0.76,False
147,0.76,False
148,0.76,False
149,0.76,False
150,0.76,False
151,0.76,False
152,0.76,False
153,0.4,False
154,0.4,False
155,0.4,False
156,0.78,False
157,0.78,False
158,0.78,False
159,0.78,False
160,0.78,False
161,0.78,False
162,0.78,False
163,0.78,False
164,0.78,False
165,0.78,False
166,0.78,False
167,0.78,False
168,0.78,False
169,0.78,False
170,0.78,False
171,0.78,False
172,0.78,False
173,0.78,False
174,0.78,False
175,0.78,False
176,0.78,False
177,0.09,False
178,0.09,False
179,0.09,False
180,0.73,False
181,0.73,False
182,0.73,False
183,0.73,False
184,0.73,False
185,0.73,False
186,0.73,False
187,0.73,False
188,0.73,False
189,0.73,False
190,0.73,False
191,0.73,False
192,0.73,False
193,0.73,False
194,0.73,False
195,0.73,False
196,0.73,False
197,0.73,False
198,0.73,False
199,0.73,False
200,0.08,False
201,0.08,False
202,0.08,False
203,0.08,False
204,0.08,False
205,0.08,False
206,0.08,False
207,0.2,False
208,0.2,False
209,0.2,False
210,0.2,False
211,0.66,False
212,0.66,False
213,0.66,False
214,0.66,False
215,0.66,False
216,0.66,False
217,0.66,False
218,0.66,False
219,0.66,False
220,0.66,False
221,0.66,False
222,0.66,False
223,0.66,False
224,0.66,False
225,0.66,False
226,0.66,False
227,0.66,False
228,0.66,False
229,0.66,False
230,0.66,False
231,0.59,False
232,0.59,False
233,0.59,False
234,0.56,False
235,0.56,False
236,0.56,False
237,0.56,False
238,0.56,False
239,0.56,False
240,0.56,False
241,0.56,False
242,0.56,False
243,0.56,False
244,0.56,False
245,0.73,False
246,0.73,False
247,0.73,False
248,0.73,False
249,0.73,False
250,0.73,False
251,0.73,False
252,0.73,False
253,0.73,False
254,0.73,False
255,0.73,False
256,0.73,False
257,0.73,False
258,0.73,False
259,0.73,False
260,0.73,False
261,0.73,False
262,0.73,False
263,0.73,False
264,0.73,False
265,0.4,False
266,0.4,False
267,0.4,False
268,0.4,False
269,0.4,False
270,0.4,False
271,0.4,False
272,0.4,False
273,0.4,False
274,0.4,False
275,0.4,False
276,0.4,False
277,0.4,False
278,0.18,False
279,0.18,False
280,0.18,False
281,0.17,False
282,0.15,False
283,0.15,False
284,0.15,False
285,0.15,False
286,0.15,False
287,0.15,False
288,0.15,False
289,0.56,False
290,0.56,False
291,0.56,False
292,0.56,False
293,0.56,False
294,0.56,False
295,0.81,False
296,0.81,False
297,0.81,False
298,0.81,False
299,0.81,False
300,0.81,False
301,0.81,False
302,0.81,False
303,0.81,False
304,0.81,False
305,0.81,False
306,0.81,False
307,0.81,False
308,0.81,False
309,0.81,False
310,0.81,False
311,0.81,False
312,0.81,False
313,0.81,False
314,0.81,False
315,0.81,False
316,0.24,False
317,0.24,False
318,0.24,False
319,0.24,False
320,0.24,False
321,0.24,False
322,0.24,False
323,0.24,False
324,0.24,False
325,0.09,False
326,0.8,False
327,0.8,False
328,0.8,False
329,0.8,False
330,0.8,False
331,0.8,False
332,0.8,False
333,0.8,False
334,0.8,False
335,0.8,False
336,0.8,False
337,0.8,False
338,0.8,False
339,0.8,False
340,0.8,False
341,0.8,False
342,0.8,False
343,0.8,False
344,0.8,False
345,0.8,False
346,0.26,False
347,0.26,False
348,0.26,False
349,0.26,False
350,0.16,False
351,0.16,False
352,0.16,False
353,0.16,False
354,0.16,False
355,0.16,False
356,0.16,False
357,0.16,False
358,0.16,False
359,0.16,False
360,0.16,False
361,0.16,False
362,0.16,False
363,0.13,False
364,0.13,False
365,0.13,False
366,0.21,False
367,0.7,False
368,0.7,False
369,0.7,False
370,0.7,False
371,0.7,False
372,0.7,False
373,0.7,False
374,0.7,False
375,0.7,False
376,0.7,False
377,1.52,False
378,1.52,False
379,1.52,False
380,1.52,False
381,1.52,False
382,1.52,False
383,1.52,False
