job_id,iteration,train_batch_size,sgd_minibatch_size,entropy,max_reward,is_target_reached,is_training_stable
0,500,2000,3,0.0,6.33,True,True
1,500,2000,3,0.1,0.8,False,False
2,500,2000,3,0.05,1.32,False,True
3,500,2000,3,0.2,0.8,False,False
4,500,2000,3,0.3,0.93,False,False
5,500,2000,5,0.0,5.5,False,True
6,500,2000,5,0.1,1.38,False,False
7,500,2000,5,0.05,0.91,False,True
8,500,2000,5,0.2,0.82,False,True
9,500,2000,5,0.3,1.4,False,True
10,500,2000,10,0.0,5.6,False,True
11,500,2000,10,0.1,1.22,False,True
12,500,2000,10,0.05,3.51,False,True
13,500,2000,10,0.2,1.25,False,True
14,500,2000,10,0.3,1.48,False,True
15,500,3000,3,0.0,5.08,False,True
16,500,3000,3,0.1,1.41,False,False
17,500,3000,3,0.05,1.39,False,True
18,500,3000,3,0.2,0.95,False,True
19,500,3000,3,0.3,1.06,False,True
20,500,3000,5,0.0,6.04,True,True
21,500,3000,5,0.1,1.4,False,True
22,500,3000,5,0.05,2.87,False,True
23,500,3000,5,0.2,0.85,False,True
24,500,3000,5,0.3,1.42,False,True
25,500,3000,10,0.0,6.27,True,True
26,500,3000,10,0.1,2.3,False,True
27,500,3000,10,0.05,4.06,False,True
28,500,3000,10,0.2,1.34,False,True
29,500,3000,10,0.3,1.12,False,True
30,500,4000,3,0.0,5.5,False,True
31,500,4000,3,0.1,0.9,False,True
32,500,4000,3,0.05,1.26,False,True
33,500,4000,3,0.2,1.37,False,True
34,500,4000,3,0.3,0.9,False,True
35,500,4000,5,0.0,6.31,True,True
36,500,4000,5,0.1,1.46,False,True
37,500,4000,5,0.05,3.36,False,True
38,500,4000,5,0.2,1.44,False,True
39,500,4000,5,0.3,1.3,False,True
40,500,4000,10,0.0,6.3,True,True
41,500,4000,10,0.1,2.94,False,True
42,500,4000,10,0.05,4.66,False,True
43,500,4000,10,0.2,1.3,False,True
44,500,4000,10,0.3,0.98,False,True
45,1000,2000,3,0.0,5.83,False,True
46,1000,2000,3,0.1,1.42,False,False
47,1000,2000,3,0.05,1.46,False,False
48,1000,2000,3,0.2,0.86,False,False
49,1000,2000,3,0.3,1.34,False,False
50,1000,2000,5,0.0,5.24,False,True
51,1000,2000,5,0.1,0.97,False,False
52,1000,2000,5,0.05,1.46,False,False
53,1000,2000,5,0.2,0.88,False,False
54,1000,2000,5,0.3,0.87,False,False
55,1000,2000,10,0.0,5.73,False,True
56,1000,2000,10,0.1,1.42,False,False
57,1000,2000,10,0.05,3.44,False,False
58,1000,2000,10,0.2,1.17,False,False
59,1000,2000,10,0.3,1.2,False,False
60,1000,3000,3,0.0,6.36,True,True
61,1000,3000,3,0.1,1.17,False,False
62,1000,3000,3,0.05,1.44,False,False
63,1000,3000,3,0.2,0.94,False,False
64,1000,3000,3,0.3,0.89,False,False
65,1000,3000,5,0.0,5.72,False,True
66,1000,3000,5,0.1,1.41,False,False
67,1000,3000,5,0.05,1.57,False,False
68,1000,3000,5,0.2,1.29,False,False
69,1000,3000,5,0.3,1.37,False,False
70,1000,3000,10,0.0,5.5,False,True
71,1000,3000,10,0.1,2.94,False,False
72,1000,3000,10,0.05,3.4,False,False
73,1000,3000,10,0.2,1.37,False,False
74,1000,3000,10,0.3,1.37,False,False
75,1000,4000,3,0.0,5.35,False,True
76,1000,4000,3,0.1,1.07,False,False
77,1000,4000,3,0.05,2.09,False,False
78,1000,4000,3,0.2,1.06,False,False
79,1000,4000,3,0.3,1.24,False,False
80,1000,4000,5,0.0,4.83,False,True
81,1000,4000,5,0.1,1.6,False,False
82,1000,4000,5,0.05,4.03,False,False
83,1000,4000,5,0.2,1.59,False,False
84,1000,4000,5,0.3,1.37,False,False
85,1000,4000,10,0.0,6.32,True,True
86,1000,4000,10,0.1,3.44,False,False
87,1000,4000,10,0.05,3.98,False,False
88,1000,4000,10,0.2,1.42,False,False
89,1000,4000,10,0.3,1.23,False,False
90,1500,2000,3,0.0,5.43,False,True
91,1500,2000,3,0.1,0.91,False,False
92,1500,2000,3,0.05,0.77,False,False
93,1500,2000,3,0.2,0.77,False,False
94,1500,2000,3,0.3,1.52,False,False
95,1500,2000,5,0.0,5.51,False,True
96,1500,2000,5,0.1,0.94,False,False
97,1500,2000,5,0.05,1.64,False,False
98,1500,2000,5,0.2,0.78,False,False
99,1500,2000,5,0.3,0.87,False,False
100,1500,2000,10,0.0,6.35,True,True
101,1500,2000,10,0.1,2.01,False,False
102,1500,2000,10,0.05,3.51,False,False
103,1500,2000,10,0.2,0.97,False,False
104,1500,2000,10,0.3,1.49,False,False
105,1500,3000,3,0.0,1.04,False,False
106,1500,3000,3,0.1,1.13,False,False
107,1500,3000,3,0.05,1.12,False,False
108,1500,3000,3,0.2,1.03,False,False
109,1500,3000,3,0.3,1.44,False,False
110,1500,3000,5,0.0,0.06,False,False
111,1500,3000,5,0.1,0.7,False,False
112,1500,3000,5,0.05,0.84,False,False
113,1500,3000,5,0.2,1.2,False,False
114,1500,3000,5,0.3,0.87,False,False
115,1500,3000,10,0.0,1.87,False,False
116,1500,3000,10,0.1,0.87,False,False
118,1500,3000,10,0.2,1.0,False,False
119,1500,3000,10,0.3,0.84,False,False
