iteration_number,reward,is_target_reached
1,0.0,False
2,0.0,False
3,0.0,False
4,-0.1,False
5,-0.1,False
6,-0.1,False
7,-0.06,False
8,-0.06,False
9,-0.06,False
10,-0.06,False
11,0.62,False
12,0.62,False
13,0.62,False
14,0.62,False
15,0.62,False
16,0.62,False
17,0.62,False
18,0.62,False
19,0.62,False
20,0.62,False
21,0.62,False
22,0.62,False
23,0.62,False
24,0.62,False
25,0.62,False
26,0.62,False
27,0.62,False
28,0.62,False
29,0.62,False
30,0.62,False
31,0.62,False
32,0.62,False
33,0.62,False
34,0.24,False
35,0.49,False
36,0.49,False
37,0.49,False
38,0.64,False
39,0.64,False
40,0.64,False
41,0.64,False
42,0.64,False
43,0.64,False
44,0.64,False
45,0.64,False
46,0.64,False
47,0.64,False
48,0.64,False
49,0.64,False
50,0.64,False
51,0.64,False
52,0.64,False
53,0.64,False
54,0.64,False
55,0.65,False
56,0.65,False
57,0.65,False
58,0.65,False
59,0.65,False
60,0.65,False
61,0.65,False
62,0.65,False
63,0.65,False
64,0.65,False
65,0.65,False
66,0.65,False
67,0.65,False
68,0.65,False
69,0.65,False
70,0.65,False
71,0.65,False
72,0.65,False
73,0.65,False
74,0.65,False
75,0.65,False
76,0.51,False
77,0.51,False
78,0.13,False
79,0.13,False
80,0.13,False
81,0.13,False
82,0.13,False
83,0.13,False
84,0.13,False
85,0.13,False
86,0.13,False
87,0.13,False
88,0.13,False
89,0.13,False
90,0.13,False
91,0.13,False
92,0.13,False
93,0.17,False
94,0.17,False
95,0.17,False
96,0.18,False
97,0.18,False
98,0.18,False
99,0.18,False
100,0.18,False
101,0.18,False
102,0.18,False
103,0.18,False
104,0.18,False
105,0.18,False
106,0.77,False
107,0.77,False
108,0.77,False
109,0.77,False
110,0.77,False
111,0.77,False
112,0.77,False
113,0.77,False
114,0.77,False
115,0.77,False
116,0.77,False
117,0.77,False
118,0.77,False
119,0.77,False
120,0.77,False
121,0.77,False
122,0.77,False
123,0.77,False
124,0.77,False
125,0.77,False
126,0.77,False
127,0.66,False
128,0.66,False
129,0.66,False
130,0.66,False
131,0.66,False
132,0.66,False
133,0.66,False
134,0.66,False
135,0.66,False
136,0.66,False
137,0.66,False
138,0.66,False
139,0.66,False
140,0.66,False
141,0.06,False
142,0.06,False
143,0.08,False
144,0.08,False
145,0.08,False
146,0.08,False
147,0.08,False
148,0.17,False
149,0.17,False
150,0.44,False
151,0.44,False
152,0.44,False
153,0.44,False
154,0.44,False
155,0.44,False
156,0.44,False
157,0.44,False
158,0.44,False
159,0.44,False
160,0.44,False
161,0.44,False
162,0.44,False
163,0.44,False
164,0.44,False
165,0.44,False
166,0.44,False
167,0.44,False
168,0.44,False
169,0.44,False
170,0.14,False
171,0.14,False
172,0.14,False
173,0.14,False
174,0.14,False
175,0.14,False
176,0.14,False
177,0.2,False
178,0.2,False
179,0.2,False
180,0.2,False
181,0.2,False
182,0.2,False
183,0.2,False
184,0.2,False
185,0.55,False
186,0.55,False
187,0.55,False
188,0.55,False
189,0.55,False
190,0.55,False
191,0.55,False
192,0.55,False
193,0.55,False
194,0.55,False
195,0.55,False
196,0.55,False
197,0.55,False
198,0.55,False
199,0.55,False
200,0.55,False
201,0.55,False
202,0.55,False
203,0.55,False
204,0.65,False
205,0.65,False
206,0.65,False
207,0.65,False
208,0.65,False
209,0.65,False
210,0.65,False
211,0.65,False
212,0.65,False
213,0.65,False
214,0.65,False
215,0.65,False
216,0.65,False
217,0.65,False
218,0.65,False
219,0.65,False
220,0.65,False
221,0.65,False
222,0.65,False
223,0.49,False
224,0.49,False
225,0.49,False
226,0.49,False
227,0.49,False
228,0.49,False
229,0.49,False
230,0.49,False
231,0.49,False
232,0.49,False
233,0.49,False
234,0.49,False
235,0.49,False
236,0.49,False
237,0.49,False
238,0.49,False
239,0.49,False
240,0.49,False
241,0.56,False
242,0.56,False
243,0.65,False
244,0.65,False
245,0.65,False
246,0.65,False
247,0.65,False
248,0.65,False
249,0.65,False
250,0.65,False
251,0.65,False
252,0.65,False
253,0.65,False
254,0.65,False
255,0.71,False
256,0.71,False
257,0.71,False
258,0.71,False
259,0.71,False
260,0.71,False
261,0.71,False
262,0.71,False
263,0.71,False
264,0.71,False
265,0.71,False
266,0.71,False
267,0.71,False
268,0.71,False
269,0.71,False
270,0.71,False
271,0.71,False
272,0.71,False
273,0.71,False
274,0.71,False
275,0.12,False
276,0.12,False
277,0.12,False
278,0.12,False
279,0.12,False
280,0.12,False
281,0.12,False
282,0.11,False
283,0.11,False
284,0.11,False
285,0.11,False
286,0.11,False
287,0.11,False
288,0.11,False
289,0.11,False
290,0.11,False
291,0.29,False
292,0.29,False
293,0.29,False
294,0.29,False
295,0.29,False
296,0.29,False
297,0.29,False
298,0.29,False
299,0.29,False
300,0.29,False
301,0.29,False
302,0.29,False
303,0.29,False
304,0.29,False
305,0.29,False
306,0.29,False
307,0.29,False
308,0.29,False
309,0.29,False
310,0.29,False
311,0.29,False
312,0.09,False
313,0.09,False
314,0.09,False
315,0.1,False
316,0.1,False
317,0.1,False
318,0.1,False
319,0.25,False
320,0.25,False
321,0.25,False
322,0.6,False
323,0.6,False
324,0.6,False
325,0.6,False
326,0.6,False
327,0.6,False
328,0.6,False
329,0.6,False
330,0.6,False
331,0.6,False
332,0.6,False
333,0.6,False
334,0.6,False
335,0.6,False
336,0.6,False
337,0.6,False
338,0.6,False
339,0.7,False
340,0.7,False
341,0.7,False
342,0.7,False
343,0.7,False
344,0.7,False
345,0.7,False
346,0.7,False
347,0.7,False
348,0.7,False
349,0.7,False
350,0.7,False
351,0.7,False
352,0.7,False
353,0.7,False
354,0.7,False
355,0.7,False
356,0.7,False
357,0.7,False
358,0.7,False
359,0.14,False
360,0.14,False
361,0.14,False
362,0.14,False
363,0.14,False
