iteration_number,reward,is_target_reached
1,0.0,False
2,0.0,False
3,0.0,False
4,0.0,False
5,0.0,False
6,1.41,False
7,1.41,False
8,1.41,False
9,1.41,False
10,1.41,False
11,1.41,False
12,3.43,False
13,3.43,False
14,3.43,False
15,3.43,False
16,3.43,False
17,3.43,False
18,3.94,False
19,3.94,False
20,3.94,False
21,3.94,False
22,3.94,False
23,3.94,False
24,3.94,False
25,3.94,False
26,3.94,False
27,3.94,False
28,3.94,False
29,3.94,False
30,3.99,False
31,4.81,False
32,4.81,False
33,4.81,False
34,4.81,False
35,4.81,False
36,4.81,False
37,4.81,False
38,4.81,False
39,4.81,False
40,4.81,False
41,4.81,False
42,4.72,False
43,4.72,False
44,4.72,False
45,4.72,False
46,4.72,False
47,4.72,False
48,5.82,False
49,5.82,False
50,5.82,False
51,5.82,False
52,5.82,False
53,5.82,False
54,5.93,False
55,5.93,False
56,5.93,False
57,5.93,False
58,5.93,False
59,5.93,False
60,5.93,False
61,5.93,False
62,5.93,False
63,5.93,False
64,5.93,False
65,5.93,False
66,4.95,False
67,5.91,False
68,5.91,False
69,5.91,False
70,5.91,False
71,5.91,False
72,5.91,False
73,5.91,False
74,5.91,False
75,5.91,False
76,5.91,False
77,5.91,False
78,6.38,True
79,6.38,True
80,6.38,True
81,6.38,True
82,6.38,True
83,6.38,True
84,6.38,True
85,6.38,True
86,6.38,True
87,6.38,True
88,6.38,True
89,6.38,True
90,6.38,True
91,6.39,True
92,6.39,True
93,6.39,True
94,6.39,True
95,6.39,True
96,6.39,True
97,6.39,True
98,6.39,True
99,6.39,True
100,6.39,True
101,6.39,True
102,5.57,False
103,5.57,False
104,5.57,False
105,5.57,False
106,5.57,False
107,5.57,False
108,5.57,False
109,5.57,False
110,5.3,False
111,5.3,False
112,5.3,False
113,5.3,False
114,4.89,False
115,4.89,False
116,4.89,False
117,4.89,False
118,4.89,False
119,4.89,False
120,6.39,True
121,6.39,True
122,6.39,True
123,6.39,True
124,6.39,True
125,6.39,True
126,6.39,True
127,6.39,True
128,4.83,False
129,4.83,False
130,4.83,False
131,4.83,False
132,4.99,False
133,4.99,False
134,5.51,False
135,5.51,False
136,5.51,False
137,5.51,False
138,5.87,False
139,5.87,False
140,5.87,False
141,5.87,False
142,5.87,False
143,5.87,False
144,5.9,False
145,5.9,False
146,5.9,False
147,5.9,False
148,5.9,False
149,5.9,False
150,5.9,False
151,5.9,False
152,5.9,False
153,5.9,False
154,5.9,False
155,5.9,False
156,5.85,False
157,5.85,False
158,6.37,True
159,6.37,True
160,6.37,True
161,6.37,True
162,6.37,True
163,6.37,True
164,6.37,True
165,6.37,True
166,6.37,True
167,6.37,True
168,6.33,True
169,6.33,True
170,6.33,True
171,6.33,True
172,6.33,True
173,6.33,True
174,6.33,True
175,6.33,True
176,5.38,False
177,5.38,False
178,5.38,False
179,5.38,False
180,6.25,True
181,6.25,True
182,6.25,True
183,6.25,True
184,6.25,True
185,6.25,True
186,6.25,True
187,6.25,True
188,6.09,True
189,6.09,True
190,6.09,True
191,6.09,True
192,6.09,True
193,6.09,True
194,6.09,True
195,6.09,True
196,6.09,True
197,6.09,True
198,5.6,False
199,5.6,False
200,5.12,False
201,5.12,False
202,5.12,False
203,6.37,True
204,6.37,True
205,6.37,True
206,6.37,True
207,6.37,True
208,6.37,True
209,6.37,True
210,6.37,True
211,6.37,True
212,6.37,True
213,6.35,True
214,6.35,True
215,5.86,False
216,5.86,False
217,5.86,False
218,5.86,False
219,5.86,False
220,5.86,False
221,4.81,False
222,4.81,False
223,4.81,False
224,4.81,False
225,4.81,False
226,4.81,False
227,4.92,False
228,4.92,False
229,4.92,False
230,4.92,False
231,4.92,False
232,4.92,False
233,4.92,False
234,4.92,False
235,4.92,False
236,4.92,False
237,5.14,False
238,5.14,False
239,6.38,True
240,6.38,True
241,6.38,True
242,6.38,True
243,6.38,True
244,6.38,True
245,6.38,True
246,6.38,True
247,6.38,True
248,6.38,True
249,6.38,True
250,6.38,True
251,4.79,False
252,4.79,False
253,4.79,False
254,4.79,False
255,4.79,False
256,4.79,False
257,5.62,False
258,5.62,False
259,5.62,False
260,5.62,False
261,5.62,False
262,5.62,False
263,5.62,False
264,5.62,False
265,5.62,False
266,5.62,False
267,4.69,False
268,4.69,False
269,4.85,False
270,4.85,False
271,4.85,False
272,4.85,False
273,4.87,False
274,4.87,False
275,5.81,False
276,5.81,False
277,5.81,False
278,5.81,False
279,5.81,False
280,5.81,False
281,5.81,False
282,5.81,False
283,5.81,False
284,5.81,False
285,5.81,False
286,5.81,False
287,4.33,False
288,4.33,False
289,4.33,False
290,4.33,False
291,4.25,False
292,4.25,False
293,4.38,False
294,4.38,False
295,4.38,False
296,4.38,False
297,4.38,False
298,4.38,False
299,4.38,False
300,4.38,False
301,4.38,False
302,4.38,False
303,4.38,False
304,4.38,False
305,5.11,False
306,5.11,False
307,5.11,False
308,5.11,False
309,5.11,False
310,5.11,False
311,5.11,False
312,5.11,False
313,5.11,False
314,5.11,False
315,5.11,False
316,4.69,False
317,4.58,False
318,4.58,False
319,4.58,False
320,4.58,False
321,4.58,False
322,4.58,False
323,4.69,False
324,4.69,False
325,4.69,False
326,4.69,False
327,4.69,False
328,4.69,False
329,4.69,False
330,4.69,False
331,4.69,False
332,4.69,False
333,4.69,False
334,4.55,False
335,4.15,False
336,4.15,False
337,4.15,False
338,4.15,False
339,4.15,False
340,4.15,False
341,3.99,False
342,3.99,False
343,3.99,False
344,3.99,False
345,3.99,False
346,3.93,False
347,3.95,False
348,3.95,False
349,3.95,False
350,3.95,False
351,3.95,False
352,3.95,False
353,4.56,False
354,4.56,False
355,4.56,False
356,4.56,False
357,4.56,False
358,4.56,False
359,4.56,False
360,4.56,False
361,4.56,False
362,4.56,False
363,4.56,False
364,4.56,False
365,4.23,False
366,4.23,False
367,4.23,False
368,4.23,False
369,4.23,False
370,4.23,False
371,4.22,False
372,4.22,False
373,4.22,False
374,4.22,False
375,4.22,False
376,4.22,False
377,4.22,False
378,4.22,False
379,4.22,False
380,4.22,False
381,4.22,False
382,4.22,False
383,4.03,False
384,4.03,False
385,4.03,False
386,4.03,False
387,4.03,False
388,4.03,False
389,4.34,False
390,4.34,False
391,4.34,False
392,4.34,False
393,4.34,False
394,4.89,False
395,4.89,False
396,4.89,False
397,4.89,False
398,4.89,False
399,4.89,False
400,4.0,False
401,4.0,False
402,4.0,False
403,4.0,False
404,4.0,False
405,4.0,False
406,4.0,False
407,4.0,False
408,4.0,False
409,4.0,False
410,4.0,False
411,4.0,False
412,3.86,False
413,3.86,False
414,3.86,False
415,3.86,False
416,3.86,False
417,3.86,False
418,3.69,False
419,3.69,False
420,3.69,False
421,3.69,False
422,3.69,False
423,3.69,False
424,3.69,False
425,3.86,False
426,3.86,False
427,3.86,False
428,3.86,False
429,3.86,False
430,3.86,False
431,3.86,False
432,3.86,False
433,3.86,False
434,3.86,False
435,3.86,False
436,3.6,False
437,3.6,False
438,3.6,False
439,3.6,False
440,3.6,False
441,3.6,False
442,3.26,False
443,3.86,False
444,3.86,False
445,3.86,False
446,3.86,False
447,3.86,False
448,3.86,False
449,3.86,False
450,3.86,False
451,3.86,False
452,3.86,False
453,3.86,False
454,3.36,False
455,3.36,False
456,3.36,False
457,3.36,False
458,3.36,False
459,3.36,False
460,3.41,False
461,3.41,False
462,3.41,False
463,3.41,False
464,3.41,False
465,3.41,False
466,3.41,False
467,3.41,False
468,3.41,False
469,3.41,False
470,3.41,False
471,3.41,False
472,3.47,False
473,3.47,False
474,3.47,False
475,3.47,False
476,3.47,False
477,3.47,False
478,3.47,False
479,3.04,False
480,3.04,False
481,3.04,False
482,3.04,False
483,3.04,False
484,3.15,False
485,3.15,False
486,3.15,False
487,3.15,False
488,3.15,False
489,3.15,False
490,3.78,False
491,3.78,False
492,3.78,False
493,3.78,False
494,3.78,False
495,3.78,False
496,3.78,False
497,3.78,False
498,3.78,False
499,3.78,False
500,3.78,False
